"Gene","Cerebrum","Cerebellum","Brainstem","Spinal cord","Kidney","Liver","Heart","Skeletal muscle","Adipose","Small intestine","Large intestine","Stomach","Placenta","Testis"
"Pycr2",251188643.150958,63095734.4480193,158489319.246111,630957344.480194,31547867.2240096,31547867.2240096,31547867.2240096,31547867.2240096,398107170.553497,31547867.2240096,501187233.627271,199526231.496888,2511886431.50958,1995262314.96888
"Hint1",79432823.4724282,39810717.0553497,630957344.480194,1e+08,50118723.3627272,19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748,158489319.246111,19905358.5276748,19905358.5276748,1e+08,125892541.179417
"Ybey",3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,7943282.34724282,3971641.17362141,19952623.1496888,25118864.3150958
"Gm4952",1255943215.75479,1255943215.75479,1255943215.75479,1255943215.75479,2511886431.50958,1e+10,1255943215.75479,1255943215.75479,1255943215.75479,1255943215.75479,1255943215.75479,1255943215.75479,1255943215.75479,1255943215.75479
"Fabp1",2505936168.13636,2505936168.13636,2505936168.13636,2505936168.13636,2505936168.13636,5011872336.27271,2505936168.13636,2505936168.13636,2505936168.13636,5011872336.27271,2505936168.13636,2505936168.13636,2505936168.13636,2505936168.13636
"Mettl15",6294627.05897083,6294627.05897083,6294627.05897083,6294627.05897083,6294627.05897083,6294627.05897083,6294627.05897083,6294627.05897083,6294627.05897083,6294627.05897083,19952623.1496888,6294627.05897083,12589254.1179417,6294627.05897083
"Ldhb",794328234.724282,316227766.016838,3981071705.53497,1e+09,199526231.496888,25118864.3150958,9976311.57484439,9976311.57484439,158489319.246111,316227766.016838,25118864.3150958,19952623.1496888,199526231.496888,3981071705.53497
"Lyrm9",1990535.85276748,5011872.33627272,1990535.85276748,1990535.85276748,1990535.85276748,1990535.85276748,3981071.70553497,1990535.85276748,3981071.70553497,1990535.85276748,1990535.85276748,1990535.85276748,1990535.85276748,25118864.3150958
"Mtarc1",251188643.150958,31622776.6016838,158489319.246111,7943282.34724282,1995262314.96888,5011872336.27271,3971641.17362141,50118723.3627272,3162277660.16838,1995262314.96888,398107170.553497,25118864.3150958,501187233.627271,501187233.627271
"Plpbp",251188643.150958,63095734.4480193,158489319.246111,251188643.150958,251188643.150958,79432823.4724282,1e+08,1e+07,199526231.496888,158489319.246111,125892541.179417,63095734.4480193,1e+09,63095734.4480193
"Mul1",5e+06,5e+06,5e+06,5e+06,5e+06,5e+06,5e+06,39810717.0553497,5e+06,5e+06,1e+07,5e+06,5e+06,5e+06
"Vps13d",316227766.016838,79432823.4724282,50118723.3627272,501187233.627271,199526231.496888,19905358.5276748,19905358.5276748,39810717.0553497,19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748
"Dmac2",1e+08,79432823.4724282,63095734.4480193,997631.157484439,997631.157484439,997631.157484439,997631.157484439,997631.157484439,997631.157484439,997631.157484439,997631.157484439,1995262.31496888,997631.157484439,997631.157484439
