Gene,Cerebrum,Cerebellum,Brainstem,Spinal cord,Kidney,Liver,Heart,Skeletal muscle,Adipose,Small intestine,Large intestine,Stomach,Placenta,Testis
Hscb,251188643.1509582,125892541.17941661,158489319.2461111,158489319.2461111,1581138.8300841898,1581138.8300841898,1581138.8300841898,3162277.6601683795,158489319.2461111,1581138.8300841898,316227766.01683795,39810717.05534969,79432823.47242822,100000000
Mrpl27,199526231.49688828,100000000,158489319.2461111,63095734.448019296,251188643.1509582,316227766.01683795,50118723.36272725,19952623.149688788,158489319.2461111,398107170.5534969,630957344.4801943,12589254.117941663,794328234.7242821,316227766.01683795
Hint2,1995262314.9688828,1584893192.4611108,3162277660.1683793,1995262314.9688828,15848931924.611109,10000000000,1995262314.9688828,251188643.1509582,3981071705.5349693,3162277660.1683793,5011872336.272715,2511886431.509582,1584893192.4611108,2511886431.509582
Etfb,5011872336.272715,3162277660.1683793,7943282347.242822,7943282347.242822,31622776601.683792,39810717055.34969,39810717055.34969,1995262314.9688828,31622776601.683792,15848931924.611109,10000000000,15848931924.611109,19952623149.688828,7943282347.242822
Slc25a15,19905358.527674846,19905358.527674846,19905358.527674846,50118723.36272725,794328234.7242821,7943282347.242822,19905358.527674846,19905358.527674846,39810717.05534969,5011872336.272715,79432823.47242822,19905358.527674846,630957344.4801943,19905358.527674846
Oxnad1,15848931.924611142,5000000,5000000,31622776.60168379,5000000,39810717.05534969,251188643.1509582,5000000,100000000,39810717.05534969,199526231.49688828,31622776.60168379,199526231.49688828,10000000
Cyct,1584893192.4611108,1000000000,3162277660.1683793,1995262314.9688828,3981071705.5349693,1584893192.4611108,3162277660.1683793,251188643.1509582,1995262314.9688828,5011872336.272715,1995262314.9688828,3162277660.1683793,1258925411.794166,7943282347.242822
Cycs,19952623149.688828,15848931924.611109,31622776601.683792,10000000000,50118723362.72715,12589254117.941662,19952623149.688828,7943282347.242822,12589254117.941662,19952623149.688828,10000000000,10000000000,12589254117.941662,19952623149.688828
Mrpl23,501187233.6272715,501187233.6272715,501187233.6272715,251188643.1509582,794328234.7242821,398107170.5534969,125892541.17941661,100000000,316227766.01683795,251188643.1509582,1584893192.4611108,199526231.49688828,630957344.4801943,398107170.5534969
Mrpl9,630957344.4801943,398107170.5534969,630957344.4801943,125892541.17941661,501187233.6272715,398107170.5534969,125892541.17941661,5011872.336272725,199526231.49688828,316227766.01683795,501187233.6272715,39810717.05534969,794328234.7242821,158489319.2461111
Chchd1,125892541.17941661,15848931.924611142,5000000,39810717.05534969,398107170.5534969,251188643.1509582,5000000,10000000,100000000,100000000,316227766.01683795,39810717.05534969,316227766.01683795,100000000
Atad3a,1995262314.9688828,630957344.4801943,1584893192.4611108,1584893192.4611108,5011872336.272715,3981071705.5349693,501187233.6272715,1000000000,3981071705.5349693,1584893192.4611108,5011872336.272715,2511886431.509582,5011872336.272715,3162277660.1683793
